,name,country,sector,founded,marketcap,revenue,employees,website,ceo,idDocDB
142,89GRAD,SWITZERLAND,TECHNOLOGY,2010,,2,31,HTTPS://WWW.89GRAD.CH,,
143,89UP,UK,ADVERTISING,2009,,1814237,26,HTTPS://89UP.ORG/,,
144,8BITSSPACEO 14867109,HARJU MAAKOND TALLINN LASNAM E LINNAOSA SEPAPAJA TN,COMPUTER PROGRAMMING ACTIVITIES,,,,,,,
145,8I HOLDINGS LIMITED,SINGAPORE,,,,,,,MR KUAN TAT CHEE,17034
146,8X8,USA,,1987,510000000,638000000,2216,HTTPS://WWW.8X8.COM,,403739
147,9 SPOKES INTERNATIONAL LIMITED,NEW ZEALAND,,,,,,,MR ADRIAN DAVID GRANT,53218
148,908 DEVICES,USA,MEDICAL DEVICES,,230000000,,,,,84676
149,91APP INC,TAIWAN,,,1113000000,,,HTTPS://WWW.91APP.COM/,,420882
150,94 3 MY FM,INDIA,BROADCASTING,2006,,,,,,334401
151,99 SPEEDMART,,CONVENIENCE STORE,,,,,,,300550
152,99ACRES,INDIA,INTERNET,2005,,,,,,
153,9SPLAY,TAIWAN,GAMES INDUSTRY,2013,,60,,HTTP://WWW.9SPLAY.COM.TW/,,
154,9Y,AUSTRIA,TECHNOLOGY,2015,,1836182,18,HTTPS://9Y.CO,,417250
155,A 1 FENCE PRODUCTS,INDIA,INDUSTRIAL MACHINERY,1998,,,,,,18207
156,A A A AUTOS LTD,UNIT SAVILLEBRIDGEMILLS MILLSTREETEAST DEWSBURY WYORKSHIRE WF BQ,,,,,,,,11762
157,A A A INVESTMENTS LIMITED,STATIONROAD LLANISHEN CARDIFF UNITEDKINGDOM CF LU,,,,,,,,245834
158,A A A LETTING MAINTENANCE LTD,SUITE THEBARBICANCENTRE DUNSFORDROAD EXETER ENGLAND EX PW,,,,,,,,206439
159,A A A PROPERTY LTD,WELLSIDEPLACE FALKIRK UNITEDKINGDOM FK RL,,,,,,,,307631
160,A A A S ENTERPRISE LTD,STATIONROAD STECHFORD BIRMINGHAM ENGLAND B BT,,,,,,,,352849
161,A A A SCAFFOLD LIMITED,KNIGHTONHOUSE HAGLEYROAD STOURBRIDGE WESTMIDLANDS DY QD,,,,,,,,193868
162,A A A STEPHEN BURPHAM LTD,CULLERNECLOSE EWELL EPSOM SURREY KT XY,,,,,,,,172947
163,A A ABBEY ROOFING BUILDING CONTRACTORS LTD,CAERSTREET SWANSEA SA PP,,,,,,,,229042
164,A A ACCOUNTING SOLUTIONS LIMITED,ROMNEYCOURTPARKFIELDDRIVE NORTHOLT UNITEDKINGDOM UB NT,,,,,,,,257312
165,A A AGRICULTURAL CONTRACTORS AND PLANT HIRE LTD,MOBILEHOME WELLCOMMONYARD TODBER DORSET UNITEDKINGDOM DT JB,,,,,,,,154517
166,A A AND SONS ROOFING LTD,YORKGATE SOUTHGATE YORKGATE SOUTHGATE LONDON ENGLAND N HS,,,,,,,,18807
167,A A APPLIANCE CARE LIMITED,CHURCHROAD SHIRLEY SOLIHULL ENGLAND B AX,,,,,,,,322745
168,A A ARBITRAGE LTD,KIRKWOODROAD LUTON ENGLAND LU QS,,,,,,,,12364
169,A A ASSET MANAGEMENT LTD,AVONDALEROAD STRETFORD MANCHESTER ENGLAND M GB,,,,,,,,427793
170,A A AUTO ELECTRICAL LTD,NEWROAD SKEWEN NEATH WALES SA HA,,,,,,,,307940
171,A A AUTOMOTIVE SERVICES LTD,ACHEADLEROAD CHEADLEHULME CHEADLE ENGLAND SK EU,,,,,,,,206439
172,A A AUTOS SLOUGH LIMITED,CROWNHOUSE BUSINESSCENTRE NORTHCIRCULARROAD LONDON UNITEDKINGDOM NW PN,,,,,,,,209622
173,A A AUTOVAN LEISURE LTD,SYCAMORELANE HOLMFIRTH HUDDERSFIELD WESTYORKSHIRE HD RT,,,,,,,,379634
174,A A B AUTOMOTIVE LIMITED,WAGTAILWALK CORBY NORTHAMPTONSHIRE UNITEDKINGDOM NN FB,,,,,,,,13202
175,A A B LTD,READINGROAD HENLEY ON THAMES UNITEDKINGDOM RG AB,,,,,,,,172976
176,A A BAKERS SCOTLAND LTD,C OGRAINGERCORPORATERESCUE RECOVERYTHIRDFLOOR BATHSTREET GLASGOW G BX,,,,,,,,20119
177,A A BALLANTYNE PROPERTIES LTD,FARBURNROAD OMAGH BT UD,,,,,,,,209618
178,A A BANERJEE LTD,BROOKLANDSDRIVE PERIVALE GREENFORD ENGLAND UB AU,,,,,,,,364624
179,A A BARR,BINE KIRKCOLM STRANRAER,,,,,,,,210411
180,A A BEAUTY TRAINING LTD,THFLOORGORDONCHAMBERS MITCHELLSTREET GLASGOW SCOTLAND G NQ,,,,,,,,154759
181,A A BEER LIMITED,OLDSCHOOL TORRINGTONSTREET BIDEFORD DEVON EX DR,,,,,,,,475476
182,A A BESPOKE WOODWORK LTD,NEWLANDSROAD BIRMINGHAM ENGLAND B RH,,,,,,,,477455
183,A A BIRD HOLDINGS LTD,HATS HUCCLECOTEROAD GLOUCESTER GLOUCESTERSHIRE UNITEDKINGDOM GL SH,,,,,,,,274733
184,A A BRADLEY BUILDERS LIMITED,ANGELHOUSE HARDWICK WITNEY OXON OX QE,,,,,,,,543765
185,A A BUCKINGHAM LIMITED,ROBERTSSTREET RUSHDEN NORTHAMPTONSHIRE NN NG,,,,,,,,122159
186,A A BUILDERS MANCHESTER LIMITED,CORRINGHAMROAD MANCHESTER UNITEDKINGDOM M RG,,,,,,,,543765
187,A A BUSINESS CONSULTING,INDIA,MANAGEMENT CONSULTING,2009,,,,,,43252
188,A A BUTLER SECURITY LTD,WOODFORDROAD BRAMHALL STOCKPORT ENGLAND SK QB,,,,,,,,226212
189,A A C PERFORMANCE LTD,WOODWARKAVENUE KING SLYNN ENGLAND PE BA,,,,,,,,297190
190,A A C RENEWABLES PLUMBING LIMITED,C OABACUSSERVICESABACUSBUILDING HIGHSTREET OBAN ARGYLL PA BG,,,,,,,,221489
191,A A CANOPIES VENTILATION SERVICES LTD,UNIT WESTERNBUSINESSPARK COOMBSROAD HALESOWEN WESTMIDLANDS UNITEDKINGDOM B AF,,,,,,,,297190
192,A A CARPETS AND FURNITURE STORE LIMITED,LEAGRAVEROAD LUTON BEDFORDSHIRE LU HZ,,,,,,,,266615
193,A A CARS NW LTD,GLADYSSTREET BOLTON UNITEDKINGDOM BL QB,,,,,,,,328009
194,A A CATERING EQUIPMENT SERVICES LIMITED,UNIT INVICTAWORKS OWENROAD WILLENHALL WESTMIDLANDS WV PZ,,,,,,,,68334
195,A A CHEMICAL CLEANING COMPANY LIMITED,UNIT BARTONBUSINESSPARK CAWDORSTREET ECCLES MANCHESTER ENGLAND M QR,,,,,,,,306252
196,A A COMMUNICATIONS LEICESTER LTD,ABURFIELDSTREET LEICESTER UNITEDKINGDOM LE AQ,,,,,,,,257297
197,A A CONSORTIUM LTD,CITYROAD LONDON ENGLAND EC V NX,,,,,,,,221489
198,A A CURRIES IN A HURRY LTD,ST STEPHENSROAD SELLYOAK BIRMINGHAM UNITEDKINGDOM B RP,,,,,,,,39367
199,A A D PLUMBING LTD,QUEENSWAY DIDCOT OXFORDSHIRE OX LX,,,,,,,,454945
200,A A DELIVERY EXPRESS LTD,SPONLANE WESTBROMWICH ENGLAND B AS,,,,,,,,154759
201,A A DEVELOPMENTS CORNWALL LIMITED,THEOLDSTABLES GRAMPOUND TRURO ENGLAND TR SP,,,,,,,,141771
